Facility,Shift,Date,Full_Lockdown,Partial_Lockdown
western illinois correctional center,Shift 1,2025-11-07,0,0
western illinois correctional center,Shift 2,2025-11-07,0,1
western illinois correctional center,Shift 3,2025-11-07,0,1
big muddy river correctional center,Shift 1,2025-11-08,0,0
big muddy river correctional center,Shift 2,2025-11-08,0,0
big muddy river correctional center,Shift 3,2025-11-08,0,0
centralia correctional center,Shift 1,2025-11-08,0,0
centralia correctional center,Shift 2,2025-11-08,0,0
centralia correctional center,Shift 3,2025-11-08,0,0
danville correctional center,Shift 1,2025-11-08,0,0
danville correctional center,Shift 2,2025-11-08,0,0
danville correctional center,Shift 3,2025-11-08,0,0
decatur correctional center,Shift 1,2025-11-08,0,0
decatur correctional center,Shift 2,2025-11-08,0,0
decatur correctional center,Shift 3,2025-11-08,0,0
dixon correctional center,Shift 1,2025-11-08,0,0
dixon correctional center,Shift 2,2025-11-08,0,0
dixon correctional center,Shift 3,2025-11-08,0,0
east moline correctional center,Shift 1,2025-11-08,0,0
east moline correctional center,Shift 2,2025-11-08,0,0
east moline correctional center,Shift 3,2025-11-08,0,0
graham correctional center,Shift 1,2025-11-08,0,0
graham correctional center,Shift 2,2025-11-08,0,0
graham correctional center,Shift 3,2025-11-08,0,0
hill correctional center,Shift 1,2025-11-08,0,0
hill correctional center,Shift 2,2025-11-08,0,0
hill correctional center,Shift 3,2025-11-08,1,0
illinois river correctional center,Shift 1,2025-11-08,0,0
illinois river correctional center,Shift 2,2025-11-08,0,0
illinois river correctional center,Shift 3,2025-11-08,0,0
jacksonville correctional center,Shift 1,2025-11-08,0,0
jacksonville correctional center,Shift 2,2025-11-08,0,0
jacksonville correctional center,Shift 3,2025-11-08,0,0
joliet treatment center,Shift 1,2025-11-08,0,0
joliet treatment center,Shift 2,2025-11-08,0,0
joliet treatment center,Shift 3,2025-11-08,0,0
lawrence correctional center,Shift 1,2025-11-08,1,0
lawrence correctional center,Shift 2,2025-11-08,0,0
lawrence correctional center,Shift 3,2025-11-08,0,0
lincoln correctional center,Shift 1,2025-11-08,0,0
lincoln correctional center,Shift 2,2025-11-08,0,0
lincoln correctional center,Shift 3,2025-11-08,0,0
logan correctional center,Shift 1,2025-11-08,0,0
logan correctional center,Shift 2,2025-11-08,0,0
logan correctional center,Shift 3,2025-11-08,0,0
menard correctional center,Shift 1,2025-11-08,0,0
menard correctional center,Shift 2,2025-11-08,0,0
menard correctional center,Shift 3,2025-11-08,0,0
pinckneyville correctional center,Shift 1,2025-11-08,0,0
pinckneyville correctional center,Shift 2,2025-11-08,0,0
pinckneyville correctional center,Shift 3,2025-11-08,0,0
robinson correctional center,Shift 1,2025-11-08,0,0
robinson correctional center,Shift 2,2025-11-08,0,0
robinson correctional center,Shift 3,2025-11-08,0,0
shawnee correctional center,Shift 1,2025-11-08,0,0
shawnee correctional center,Shift 2,2025-11-08,0,0
shawnee correctional center,Shift 3,2025-11-08,0,0
sheridan correctional center,Shift 1,2025-11-08,0,0
sheridan correctional center,Shift 2,2025-11-08,0,0
sheridan correctional center,Shift 3,2025-11-08,0,0
southwestern illinois correctional center,Shift 1,2025-11-08,0,0
southwestern illinois correctional center,Shift 2,2025-11-08,0,0
southwestern illinois correctional center,Shift 3,2025-11-08,0,0
stateville correctional center,Shift 1,2025-11-08,0,0
stateville correctional center,Shift 2,2025-11-08,0,0
stateville correctional center,Shift 3,2025-11-08,0,0
taylorville correctional center,Shift 1,2025-11-08,0,0
taylorville correctional center,Shift 2,2025-11-08,0,0
taylorville correctional center,Shift 3,2025-11-08,0,0
vandalia correctional center,Shift 1,2025-11-08,0,0
vandalia correctional center,Shift 2,2025-11-08,0,0
vandalia correctional center,Shift 3,2025-11-08,0,0
vienna correctional center,Shift 1,2025-11-08,0,0
vienna correctional center,Shift 2,2025-11-08,0,0
vienna correctional center,Shift 3,2025-11-08,0,0
western illinois correctional center,Shift 1,2025-11-08,0,1
western illinois correctional center,Shift 2,2025-11-08,0,1
western illinois correctional center,Shift 3,2025-11-08,0,1
big muddy river correctional center,Shift 1,2025-11-09,0,0
big muddy river correctional center,Shift 2,2025-11-09,0,0
big muddy river correctional center,Shift 3,2025-11-09,0,0
centralia correctional center,Shift 1,2025-11-09,0,0
centralia correctional center,Shift 2,2025-11-09,0,0
centralia correctional center,Shift 3,2025-11-09,0,0
danville correctional center,Shift 1,2025-11-09,0,0
danville correctional center,Shift 2,2025-11-09,0,0
danville correctional center,Shift 3,2025-11-09,0,0
decatur correctional center,Shift 1,2025-11-09,0,0
decatur correctional center,Shift 2,2025-11-09,0,0
decatur correctional center,Shift 3,2025-11-09,0,0
dixon correctional center,Shift 1,2025-11-09,0,0
dixon correctional center,Shift 2,2025-11-09,0,0
dixon correctional center,Shift 3,2025-11-09,0,0
east moline correctional center,Shift 1,2025-11-09,0,0
east moline correctional center,Shift 2,2025-11-09,0,0
east moline correctional center,Shift 3,2025-11-09,0,0
graham correctional center,Shift 1,2025-11-09,0,0
graham correctional center,Shift 2,2025-11-09,0,0
graham correctional center,Shift 3,2025-11-09,1,0
hill correctional center,Shift 1,2025-11-09,1,0
hill correctional center,Shift 2,2025-11-09,1,0
hill correctional center,Shift 3,2025-11-09,1,0
illinois river correctional center,Shift 1,2025-11-09,0,0
illinois river correctional center,Shift 2,2025-11-09,0,0
illinois river correctional center,Shift 3,2025-11-09,0,0
jacksonville correctional center,Shift 1,2025-11-09,0,0
jacksonville correctional center,Shift 2,2025-11-09,0,0
jacksonville correctional center,Shift 3,2025-11-09,0,0
joliet treatment center,Shift 1,2025-11-09,0,0
joliet treatment center,Shift 2,2025-11-09,0,0
joliet treatment center,Shift 3,2025-11-09,0,0
lawrence correctional center,Shift 1,2025-11-09,1,0
lawrence correctional center,Shift 2,2025-11-09,0,0
lawrence correctional center,Shift 3,2025-11-09,0,0
lincoln correctional center,Shift 1,2025-11-09,0,0
lincoln correctional center,Shift 2,2025-11-09,0,0
lincoln correctional center,Shift 3,2025-11-09,0,0
logan correctional center,Shift 1,2025-11-09,0,0
logan correctional center,Shift 2,2025-11-09,0,0
logan correctional center,Shift 3,2025-11-09,0,0
menard correctional center,Shift 1,2025-11-09,0,0
menard correctional center,Shift 2,2025-11-09,0,0
menard correctional center,Shift 3,2025-11-09,0,0
pinckneyville correctional center,Shift 1,2025-11-09,0,0
pinckneyville correctional center,Shift 2,2025-11-09,0,0
pinckneyville correctional center,Shift 3,2025-11-09,0,0
robinson correctional center,Shift 1,2025-11-09,0,0
robinson correctional center,Shift 2,2025-11-09,0,0
robinson correctional center,Shift 3,2025-11-09,0,0
shawnee correctional center,Shift 1,2025-11-09,0,0
shawnee correctional center,Shift 2,2025-11-09,0,0
shawnee correctional center,Shift 3,2025-11-09,0,0
sheridan correctional center,Shift 1,2025-11-09,0,0
sheridan correctional center,Shift 2,2025-11-09,0,0
sheridan correctional center,Shift 3,2025-11-09,0,0
southwestern illinois correctional center,Shift 1,2025-11-09,0,0
southwestern illinois correctional center,Shift 2,2025-11-09,0,0
southwestern illinois correctional center,Shift 3,2025-11-09,0,0
stateville correctional center,Shift 1,2025-11-09,0,0
stateville correctional center,Shift 2,2025-11-09,0,0
stateville correctional center,Shift 3,2025-11-09,0,0
taylorville correctional center,Shift 1,2025-11-09,0,0
taylorville correctional center,Shift 2,2025-11-09,0,0
taylorville correctional center,Shift 3,2025-11-09,0,0
vandalia correctional center,Shift 1,2025-11-09,0,0
vandalia correctional center,Shift 2,2025-11-09,0,0
vandalia correctional center,Shift 3,2025-11-09,0,0
vienna correctional center,Shift 1,2025-11-09,0,0
vienna correctional center,Shift 2,2025-11-09,0,0
vienna correctional center,Shift 3,2025-11-09,0,0
western illinois correctional center,Shift 1,2025-11-09,0,1
western illinois correctional center,Shift 2,2025-11-09,0,0
western illinois correctional center,Shift 3,2025-11-09,0,0
big muddy river correctional center,Shift 1,2025-11-10,0,0
big muddy river correctional center,Shift 2,2025-11-10,0,0
big muddy river correctional center,Shift 3,2025-11-10,0,0
centralia correctional center,Shift 1,2025-11-10,0,0
centralia correctional center,Shift 2,2025-11-10,0,0
centralia correctional center,Shift 3,2025-11-10,0,0
danville correctional center,Shift 1,2025-11-10,0,0
danville correctional center,Shift 2,2025-11-10,0,0
danville correctional center,Shift 3,2025-11-10,0,0
decatur correctional center,Shift 1,2025-11-10,0,0
decatur correctional center,Shift 2,2025-11-10,0,0
decatur correctional center,Shift 3,2025-11-10,0,0
dixon correctional center,Shift 1,2025-11-10,0,0
dixon correctional center,Shift 2,2025-11-10,0,0
dixon correctional center,Shift 3,2025-11-10,0,0
east moline correctional center,Shift 1,2025-11-10,0,0
east moline correctional center,Shift 2,2025-11-10,0,0
east moline correctional center,Shift 3,2025-11-10,0,0
graham correctional center,Shift 1,2025-11-10,0,0
graham correctional center,Shift 2,2025-11-10,0,0
graham correctional center,Shift 3,2025-11-10,0,0
hill correctional center,Shift 1,2025-11-10,1,0
hill correctional center,Shift 2,2025-11-10,1,0
hill correctional center,Shift 3,2025-11-10,1,0
illinois river correctional center,Shift 1,2025-11-10,0,0
illinois river correctional center,Shift 2,2025-11-10,0,0
illinois river correctional center,Shift 3,2025-11-10,0,0
jacksonville correctional center,Shift 1,2025-11-10,0,0
jacksonville correctional center,Shift 2,2025-11-10,0,0
jacksonville correctional center,Shift 3,2025-11-10,0,0
joliet treatment center,Shift 1,2025-11-10,0,0
joliet treatment center,Shift 2,2025-11-10,0,0
joliet treatment center,Shift 3,2025-11-10,0,0
lawrence correctional center,Shift 1,2025-11-10,0,0
lawrence correctional center,Shift 2,2025-11-10,0,0
lawrence correctional center,Shift 3,2025-11-10,0,0
lincoln correctional center,Shift 1,2025-11-10,0,0
lincoln correctional center,Shift 2,2025-11-10,0,0
lincoln correctional center,Shift 3,2025-11-10,0,0
logan correctional center,Shift 1,2025-11-10,0,0
logan correctional center,Shift 2,2025-11-10,0,0
logan correctional center,Shift 3,2025-11-10,0,0
menard correctional center,Shift 1,2025-11-10,0,0
menard correctional center,Shift 2,2025-11-10,0,0
menard correctional center,Shift 3,2025-11-10,0,0
pinckneyville correctional center,Shift 1,2025-11-10,0,0
pinckneyville correctional center,Shift 2,2025-11-10,0,0
pinckneyville correctional center,Shift 3,2025-11-10,0,0
robinson correctional center,Shift 1,2025-11-10,0,0
robinson correctional center,Shift 2,2025-11-10,0,0
robinson correctional center,Shift 3,2025-11-10,0,0
shawnee correctional center,Shift 1,2025-11-10,0,0
shawnee correctional center,Shift 2,2025-11-10,0,0
shawnee correctional center,Shift 3,2025-11-10,0,0
sheridan correctional center,Shift 1,2025-11-10,0,0
sheridan correctional center,Shift 2,2025-11-10,0,0
sheridan correctional center,Shift 3,2025-11-10,0,0
southwestern illinois correctional center,Shift 1,2025-11-10,0,0
southwestern illinois correctional center,Shift 2,2025-11-10,0,0
southwestern illinois correctional center,Shift 3,2025-11-10,0,0
stateville correctional center,Shift 1,2025-11-10,0,0
stateville correctional center,Shift 2,2025-11-10,0,0
stateville correctional center,Shift 3,2025-11-10,0,0
taylorville correctional center,Shift 1,2025-11-10,0,0
taylorville correctional center,Shift 2,2025-11-10,0,0
taylorville correctional center,Shift 3,2025-11-10,0,0
vandalia correctional center,Shift 1,2025-11-10,0,0
vandalia correctional center,Shift 2,2025-11-10,0,0
vandalia correctional center,Shift 3,2025-11-10,0,0
vienna correctional center,Shift 1,2025-11-10,0,0
vienna correctional center,Shift 2,2025-11-10,0,0
vienna correctional center,Shift 3,2025-11-10,0,0
western illinois correctional center,Shift 1,2025-11-10,0,0
western illinois correctional center,Shift 2,2025-11-10,0,0
western illinois correctional center,Shift 3,2025-11-10,0,0
big muddy river correctional center,Shift 1,2025-11-11,0,0
big muddy river correctional center,Shift 2,2025-11-11,0,0
big muddy river correctional center,Shift 3,2025-11-11,0,0
centralia correctional center,Shift 1,2025-11-11,0,0
centralia correctional center,Shift 2,2025-11-11,0,0
centralia correctional center,Shift 3,2025-11-11,0,0
danville correctional center,Shift 1,2025-11-11,0,0
danville correctional center,Shift 2,2025-11-11,0,0
danville correctional center,Shift 3,2025-11-11,0,0
decatur correctional center,Shift 1,2025-11-11,0,0
decatur correctional center,Shift 2,2025-11-11,0,0
decatur correctional center,Shift 3,2025-11-11,0,0
dixon correctional center,Shift 1,2025-11-11,0,0
dixon correctional center,Shift 2,2025-11-11,0,0
dixon correctional center,Shift 3,2025-11-11,0,0
east moline correctional center,Shift 1,2025-11-11,0,0
east moline correctional center,Shift 2,2025-11-11,0,0
east moline correctional center,Shift 3,2025-11-11,0,0
graham correctional center,Shift 1,2025-11-11,0,0
graham correctional center,Shift 2,2025-11-11,0,0
graham correctional center,Shift 3,2025-11-11,0,0
hill correctional center,Shift 1,2025-11-11,0,0
hill correctional center,Shift 2,2025-11-11,0,0
hill correctional center,Shift 3,2025-11-11,0,0
illinois river correctional center,Shift 1,2025-11-11,0,0
illinois river correctional center,Shift 2,2025-11-11,0,0
illinois river correctional center,Shift 3,2025-11-11,0,0
jacksonville correctional center,Shift 1,2025-11-11,0,0
jacksonville correctional center,Shift 2,2025-11-11,0,0
jacksonville correctional center,Shift 3,2025-11-11,0,0
joliet treatment center,Shift 1,2025-11-11,0,0
joliet treatment center,Shift 2,2025-11-11,0,0
joliet treatment center,Shift 3,2025-11-11,0,0
lawrence correctional center,Shift 1,2025-11-11,0,0
lawrence correctional center,Shift 2,2025-11-11,0,0
lawrence correctional center,Shift 3,2025-11-11,0,0
lincoln correctional center,Shift 1,2025-11-11,0,0
lincoln correctional center,Shift 2,2025-11-11,0,0
lincoln correctional center,Shift 3,2025-11-11,0,0
logan correctional center,Shift 1,2025-11-11,0,0
logan correctional center,Shift 2,2025-11-11,0,0
logan correctional center,Shift 3,2025-11-11,0,0
menard correctional center,Shift 1,2025-11-11,0,0
menard correctional center,Shift 2,2025-11-11,0,0
menard correctional center,Shift 3,2025-11-11,0,0
pinckneyville correctional center,Shift 1,2025-11-11,0,0
pinckneyville correctional center,Shift 2,2025-11-11,0,0
pinckneyville correctional center,Shift 3,2025-11-11,0,0
robinson correctional center,Shift 1,2025-11-11,0,0
robinson correctional center,Shift 2,2025-11-11,0,0
robinson correctional center,Shift 3,2025-11-11,0,0
shawnee correctional center,Shift 1,2025-11-11,0,0
shawnee correctional center,Shift 2,2025-11-11,0,0
shawnee correctional center,Shift 3,2025-11-11,0,0
sheridan correctional center,Shift 1,2025-11-11,0,0
sheridan correctional center,Shift 2,2025-11-11,0,0
sheridan correctional center,Shift 3,2025-11-11,0,0
southwestern illinois correctional center,Shift 1,2025-11-11,0,0
southwestern illinois correctional center,Shift 2,2025-11-11,0,0
southwestern illinois correctional center,Shift 3,2025-11-11,0,0
stateville correctional center,Shift 1,2025-11-11,0,0
stateville correctional center,Shift 2,2025-11-11,0,0
stateville correctional center,Shift 3,2025-11-11,0,0
taylorville correctional center,Shift 1,2025-11-11,0,0
taylorville correctional center,Shift 2,2025-11-11,0,0
taylorville correctional center,Shift 3,2025-11-11,0,0
vandalia correctional center,Shift 1,2025-11-11,0,0
vandalia correctional center,Shift 2,2025-11-11,0,0
vandalia correctional center,Shift 3,2025-11-11,0,0
vienna correctional center,Shift 1,2025-11-11,0,0
vienna correctional center,Shift 2,2025-11-11,0,0
vienna correctional center,Shift 3,2025-11-11,0,0
western illinois correctional center,Shift 1,2025-11-11,0,0
